date	stringency_avg	stringency_stddv
2020-10-02	54.3188333333333	17.92480386612051
2020-10-03	54.40116666666664	17.827545330969652
2020-10-04	54.28805555555553	17.869238437332662
2020-10-05	54.19038888888886	17.527572987974274
2020-10-06	54.071888888888864	17.790730944601737
2020-10-07	53.935555555555524	17.855407497830466
2020-10-08	53.87377777777774	17.82787131792226
2020-10-09	53.742722222222184	17.770656957485205
2020-10-10	53.66811111111108	17.64895444775031
2020-10-11	53.64494444444443	17.591493730311257
2020-10-12	53.210220994475115	17.11935071817664
2020-10-13	53.095193370165724	17.08297021514256
2020-10-14	53.06955801104971	17.020852203970197
2020-10-15	52.92110497237568	16.84461872511533
2020-10-16	52.665303867403296	16.815975058641644
2020-10-17	52.61928176795578	16.86876904511418
2020-10-18	52.58348066298341	16.860110219517157
2020-10-19	52.53745856353589	16.899072979730274
2020-10-20	52.7216574585635	16.77184646116579
2020-10-21	52.84187845303864	16.926385522554856
2020-10-22	52.915966850828696	16.915673427050244
2020-10-23	52.905690607734776	16.93928580337984
2020-10-24	53.02082872928174	16.961745352131544
2020-10-25	52.99265193370163	16.949905771845167
2020-10-26	53.161381215469575	17.0079258018488
2020-10-27	52.90812154696127	17.315792836433662
2020-10-28	52.74187845303864	17.17491257287148
2020-10-29	52.70618784530384	17.001206143369796
2020-10-30	52.77265193370163	17.19259610771592
2020-10-31	52.73690607734804	17.12425807844051
2020-11-01	52.47093922651933	17.205100576811084
2020-11-02	52.844419889502745	17.078929227515978
2020-11-03	52.86999999999998	17.149473970316514
2020-11-04	53.03872928176793	17.048922489523594
2020-11-05	53.10779005524859	17.03428783269125
2020-11-06	53.1641436464088	17.01957335849911
2020-11-07	53.32784530386738	17.125948335990287
2020-11-08	53.327845303867385	17.101891798631257
2020-11-09	53.48640883977899	16.981700219712597
2020-11-10	53.199890109890084	17.13594519045687
2020-11-11	53.21258241758239	17.12559309733578
2020-11-12	53.589120879120856	17.246237821837145
2020-11-13	53.61961538461536	17.239418999330823
2020-11-14	53.79010989010985	17.403542079444662
2020-11-15	53.92999999999997	17.407438538840697
